                 mal	                 mal	                 mal	       NOM	                    	         m	         s	         1	                      lyrique;dramatique	                                  malheur;tourment	blessure;chagrin;désolation;perte;souffrance;maladie;malédiction;maudit;pourriture;angoisse;mort	folie;psychologie;philosophie;folklore;folklore
              mortel	              mortel	              mORtEl	       ADJ	                    	         m	         s	         2	                      lyrique;dramatique	                              meurtrier;foudroyant	sinistre;corruptible;dangereux;dangereuse;destructeur;funeste	                  guerre;épique;folklore;folie
              mortel	              mortel	              mORtEl	       NOM	                    	         m	         s	         2	                      lyrique;dramatique	                                       homme;femme	      simple;humain;mort;vie;chemin;condamné;sens	                                philosophie;morale
              survie	              survie	               syRvi	       NOM	                    	         f	         s	         2	                      épique;dramatique	                                                  	   difficulté;faim;froid;manque;chasse;soif;vivre	                           aventure;épique;animal
                duel	                duel	                d8El	       NOM	                    	         m	         s	         1	              épique;lyrique;dramatique	                                      combat;joute	querelle;honneur;mort;rivalité;provocation;épée	            épique;folklore;morale;philosophie
            chimère	            chimère	               SimER	       NOM	                    	         f	         s	         2	              lyrique;épique;dramatique	                            fantasme;hallucination	rêver;horreur;rêve;imagination;folie;fou;folle;songe	                     folie;psychologie;philosophie
           cauchemar	           cauchemar	            koS°maR	       NOM	                    	         m	         s	         3	                      dramatique;lyrique	                                  délire;tourment	crainte;nuit;noire;rêve;hantise;hallucination;angoissées;angoisse	                       psychologie;folie;politique
               rouge	               rouge	                 RuZ	       ADJ	                    	          	         s	         1	                                 lyrique	                                        rougeâtre	sanguin;enflammé;enflammée;feu;braise;sanglant;ardente;flamboyante;flamboyant;ardent	                  aventure;épique;folie;politique
             blanche	               blanc	              bl@S°	       ADJ	                    	         f	         s	         2	                    lyrique;science	                                pâle;blême;clair	immaculée;opalescente;lumière;blanchâtre;claire;lune;éclat	        science;psychologie;aventure;religion
            venimeux	            venimeux	             v°nim2	       ADJ	                    	         m	          	         3	                 dramatique;science	                               empoisonné;toxique	      serpent;morsure;mort;paralysie;poison;mortel	                      science;aventure;animal
              forêt	              forêt	                foRE	       NOM	                    	         f	         s	         2	      lyrique;mélancolique;science	                                              bois	arbres;nature;végétation;luxuriante;sauvage;solitude;feuillage;mystères;bêtes	 science;aventure;folklore;géographie;guerre
             révolu	             révolu	              Revoly	       ADJ	                    	         m	         s	         3	                   lyrique;mélancolique	                                    disparu;passé	nostalgie;disparu;terminé;ancien;absent;oublié;loitain;nostalgique	                        folklore;psychologie;folie
         immémorial	         immémorial	           imemoRjal	       ADJ	                    	         m	         s	         4	                                 épique	                      ancestral;antique;séculaire	antédiluvien;passé;mémoire;temps;souvenir;rappel	                                  épique;folklore
             oublié	             oublié	              ublije	       ADJ	                    	         m	         s	         3	                           mélancolique	                             délaissé;abandonné	                       perte;abandon;perdu;disparu	                           folklore;épique;morale
               perdu	               perdu	               pERdy	       ADJ	                    	         m	         s	         2	                   lyrique;mélancolique	                                   révolu;disparu	                pensif;égaré;désert;chemin;voie	               aventure;folklore;psychologie;folie
         destruction	         destruction	         destRyksj§	       NOM	                    	         f	         s	         3	                      lyrique;dramatique	                           effondrement;extinction	mort;dévaster;carnage;néant;extermination;ruines	épique;folklore;religion;morale;philosophie;politique
              combat	              combat	               k§ba	       NOM	                    	         m	         s	         2	                 lyrique;épique;comique	                               bataille;lutte;duel	armes;sang;mort;blessures;carnage;corps;honneur;coeur	      chasse;épique;folklore;aventure;psychologie
              bateau	              bateau	                bato	       NOM	                    	         m	         s	         2	                      lyrique;dramatique	                             vaisseau;nef;caboteur	mâts;voiles;équipage;filets;canons;pêche;combat;mer;vagues;déchainées	                               navigation;aventure
           capitaine	           capitaine	             kapitEn	       NOM	                    	         m	         s	         3	                                  neutre	                                commandant;maître	ordres;diriger;route;décisions;courage;bravoure;équipage	                               folklore;navigation
          réflexion	          réflexion	          ReflEksj§	       NOM	                    	         f	         s	         3	                            scientifique	                                     pensée;idée	                              esprit;temps;analyse	  psychologie;science;morale;philosophie;politique
             cerveau	             cerveau	               sERvo	       NOM	                    	         m	          	         2	                            scientifique	                                      tête;esprit	                   reflexion;esprit;idées;pensée	                                 psychologie;corps
           poursuite	           poursuite	             puRs8it	       NOM	                    	         f	         s	         2	                                 épique	                                            chasse	                    tenacité;vitesse;temps;course	                              chasse;morale;guerre
              gibier	              gibier	               Zibje	       NOM	                    	         m	         s	         2	                                  neutre	                                                  	                              viande;chasse;traque	                                            chasse
              traque	              traque	                tRak	       NOM	                    	         f	         s	         1	                                  neutre	                                            chasse	                               recherche;endurance	                       chasse;philosophie;folklore
              massif	              massif	               masif	       ADJ	                    	         m	         s	         2	                                 épique	                                     lourd;immense	                    montagneux;gigantesque;énorme	                           épique;folklore;guerre
              massif	              massif	               masif	       NOM	                    	         m	         s	         2	                            scientifique	                                   montagne;relief	                        montagnes;géologie;roches	                                       géographie
     révérencieuse	      révérencieux	          ReveR@sj2z	       ADJ	                    	         f	         s	         4	                                 lyrique	                               affable;obséquieux	            manières;courtoisie;respect;politesse	                                            social
             relique	             relique	              R°lik	       NOM	                    	         f	         s	         2	                                 lyrique	                           reste;fétiche;souvenir	                     vieille;ancienne;objet;valeur	                                 aventure;folklore
            vaisseau	            vaisseau	                vEso	       NOM	                    	         m	         s	         2	                                 épique	                                     bateau;navire	     naviguer;capitaine;marins;mer;périple;voiles	               navigation;aventure;commerce;guerre
